subsectorID,subsectorName,sectorID
1,cropland-fires,1
2,enteric-fermentation,1
3,manure-management,1
4,other-agricultural-soil-emissions,1
5,rice-cultivation,1
6,synthetic-fertilizer-application,1
7,other-onsite-fuel-usage,2
8,residential-and-commercial-onsite-fuel-usage,2
9,fluorinated-gases,3
10,coal-mining,4
11,oil-and-gas-production-and-transport,4
12,oil-and-gas-refining,4
13,other-fossil-fuel-operations,4
14,solid-fuel-transformation,4
15,aluminum,5
16,cement,5
17,chemicals,5
18,other-manufacturing,5
19,pulp-and-paper,5
20,steel,5
21,bauxite-mining,6
22,copper-mining,6
23,iron-mining,6
24,rock-quarrying,6
25,sand-quarrying,6
26,electricity-generation,7
27,other-energy-use,7
28,biological-treatment-of-solid-waste-&-biogenic,8
29,incineration-and-open-burning-of-waste,8
30,solid-waste-disposal,8
31,wastewater-treatment-and-discharge,8
